id,business_name,sector,lga,ward,street,annual_revenue,employee_count,registered
1,Wilson LLC,Real Estate,Oshodi-Isolo,Ward 4 Oshodi-Isolo,Street 2 Ward 4 Oshodi-Isolo,145523685,385,True
2,"Wilson, Robertson and Hernandez",Hospitality,Ikeja,Ward 2 Ikeja,Street 2 Ward 2 Ikeja,103500782,379,True
3,"Boyd, Allen and Anderson",Retail,Ajah,Ward 2 Ajah,Street 6 Ward 2 Ajah,226968892,249,False
4,"Gonzalez, Edwards and Murphy",Retail,Ikeja,Ward 5 Ikeja,Street 5 Ward 5 Ikeja,288042429,14,False
5,Parker Group,Tech,Lekki,Ward 2 Lekki,Street 8 Ward 2 Lekki,416089731,432,False
6,"Mcgrath, Gordon and Joseph",Manufacturing,Alimosho,Ward 2 Alimosho,Street 3 Ward 2 Alimosho,481517204,257,True
7,Barber-Martinez,Manufacturing,Badagry,Ward 3 Badagry,Street 7 Ward 3 Badagry,171589196,262,False
8,Smith Ltd,Real Estate,Ikeja,Ward 3 Ikeja,Street 9 Ward 3 Ikeja,444969394,259,True
9,Martinez and Sons,Tech,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 4 Ward 2 Oshodi-Isolo,342090849,30,False
10,"Peterson, Tran and Meyers",Manufacturing,Epe,Ward 4 Epe,Street 8 Ward 4 Epe,127556807,386,False
11,Andrews-Fisher,Finance,Victoria Island,Ward 5 Victoria Island,Street 10 Ward 5 Victoria Island,370589616,234,True
12,"Carroll, Smith and Whitaker",Retail,Ajah,Ward 2 Ajah,Street 2 Ward 2 Ajah,213276563,479,False
13,Ortiz-Velasquez,Real Estate,Yaba,Ward 3 Yaba,Street 9 Ward 3 Yaba,139127827,112,True
14,"Bell, Richardson and Martinez",Transport,Epe,Ward 5 Epe,Street 7 Ward 5 Epe,112586604,108,False
15,Christensen-English,Retail,Lekki,Ward 5 Lekki,Street 8 Ward 5 Lekki,191245937,303,False
16,Brown PLC,Retail,Alimosho,Ward 3 Alimosho,Street 1 Ward 3 Alimosho,227824159,371,True
17,Hill Group,Real Estate,Badagry,Ward 2 Badagry,Street 5 Ward 2 Badagry,186836392,188,False
18,Adams LLC,Manufacturing,Yaba,Ward 4 Yaba,Street 10 Ward 4 Yaba,318517265,476,True
19,"Adams, Farmer and Green",Transport,Mushin,Ward 3 Mushin,Street 1 Ward 3 Mushin,55942509,270,True
20,Robinson PLC,Finance,Ajah,Ward 3 Ajah,Street 1 Ward 3 Ajah,426060765,115,True
21,Summers Ltd,Hospitality,Surulere,Ward 1 Surulere,Street 10 Ward 1 Surulere,288956976,53,False
22,Crawford Ltd,Manufacturing,Epe,Ward 2 Epe,Street 10 Ward 2 Epe,355597038,57,False
23,Palmer Ltd,Tech,Ikeja,Ward 3 Ikeja,Street 5 Ward 3 Ikeja,484930151,283,False
24,Ponce LLC,Retail,Agege,Ward 3 Agege,Street 10 Ward 3 Agege,320981427,428,False
25,Lewis Inc,Tech,Apapa,Ward 1 Apapa,Street 4 Ward 1 Apapa,85096911,459,True
26,"Robinson, Roberts and Daniels",Manufacturing,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 5 Ward 2 Oshodi-Isolo,198873098,25,False
27,Long-Obrien,Finance,Ikorodu,Ward 3 Ikorodu,Street 6 Ward 3 Ikorodu,404118493,137,True
28,Christian Inc,Retail,Yaba,Ward 5 Yaba,Street 4 Ward 5 Yaba,91201129,108,True
29,Woods-Lloyd,Finance,Ajah,Ward 3 Ajah,Street 7 Ward 3 Ajah,159591150,204,True
30,Mccarty and Sons,Real Estate,Agege,Ward 3 Agege,Street 7 Ward 3 Agege,147131166,125,False
31,Wong-Garcia,Tech,Ajah,Ward 5 Ajah,Street 10 Ward 5 Ajah,419002355,431,True
32,Ali-Vazquez,Transport,Ajah,Ward 5 Ajah,Street 5 Ward 5 Ajah,345468423,247,False
33,Weber Inc,Retail,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 5 Ward 3 Ifako-Ijaiye,272137153,436,True
34,"Harvey, Flores and Delacruz",Real Estate,Agege,Ward 1 Agege,Street 8 Ward 1 Agege,235548402,256,True
35,"Swanson, Benson and Young",Real Estate,Apapa,Ward 4 Apapa,Street 1 Ward 4 Apapa,480334703,38,True
36,Goodman Ltd,Transport,Alimosho,Ward 3 Alimosho,Street 5 Ward 3 Alimosho,106745444,352,True
37,Mahoney-Baldwin,Real Estate,Apapa,Ward 5 Apapa,Street 4 Ward 5 Apapa,292196574,447,False
38,Shepherd-Williamson,Retail,Somolu,Ward 1 Somolu,Street 9 Ward 1 Somolu,260852083,28,True
39,Zuniga LLC,Tech,Victoria Island,Ward 3 Victoria Island,Street 4 Ward 3 Victoria Island,405473719,159,True
40,"Hodge, Berg and Hernandez",Hospitality,Agege,Ward 5 Agege,Street 7 Ward 5 Agege,61606264,438,False
41,Davis-Johnson,Hospitality,Ajah,Ward 5 Ajah,Street 8 Ward 5 Ajah,6498923,30,True
42,"Johnson, Sandoval and Butler",Hospitality,Apapa,Ward 3 Apapa,Street 9 Ward 3 Apapa,232433716,328,True
43,Schneider Inc,Tech,Yaba,Ward 4 Yaba,Street 8 Ward 4 Yaba,44808848,301,False
44,"Walker, Martin and Cain",Finance,Badagry,Ward 3 Badagry,Street 7 Ward 3 Badagry,373981806,167,False
45,Thomas Inc,Finance,Agege,Ward 5 Agege,Street 1 Ward 5 Agege,70458122,330,False
46,Stone PLC,Tech,Victoria Island,Ward 5 Victoria Island,Street 6 Ward 5 Victoria Island,266305092,69,False
47,"Davis, Sloan and Baker",Retail,Yaba,Ward 4 Yaba,Street 3 Ward 4 Yaba,467021097,345,True
48,Patterson-Shaw,Retail,Ifako-Ijaiye,Ward 3 Ifako-Ijaiye,Street 3 Ward 3 Ifako-Ijaiye,46759908,294,True
49,Alexander Ltd,Transport,Mushin,Ward 4 Mushin,Street 6 Ward 4 Mushin,340029986,69,True
50,Wood Ltd,Tech,Oshodi-Isolo,Ward 2 Oshodi-Isolo,Street 7 Ward 2 Oshodi-Isolo,474934829,369,True
