id,owner_id,lga,ward,street,property_type,estimated_value
1,1,Ikeja,Ward 2 Ikeja,Street 2 Ward 2 Ikeja,Residential,18454711.05
2,2,Ikeja,Ward 2 Ikeja,Street 10 Ward 2 Ikeja,Residential,10888840.76
3,3,Ajah,Ward 1 Ajah,Street 4 Ward 1 Ajah,Commercial,11287865.18
4,4,Ikorodu,Ward 4 Ikorodu,Street 5 Ward 4 Ikorodu,Commercial,10479668.25
5,5,Victoria Island,Ward 1 Victoria Island,Street 3 Ward 1 Victoria Island,Commercial,11580826.2
6,6,Ikorodu,Ward 2 Ikorodu,Street 9 Ward 2 Ikorodu,Commercial,12002587.11
7,7,Victoria Island,Ward 1 Victoria Island,Street 7 Ward 1 Victoria Island,Commercial,39516865.98
8,8,Lekki,Ward 4 Lekki,Street 6 Ward 4 Lekki,Commercial,18006725.42
9,9,Victoria Island,Ward 1 Victoria Island,Street 4 Ward 1 Victoria Island,Commercial,41799768.91
10,10,Ikeja,Ward 3 Ikeja,Street 6 Ward 3 Ikeja,Residential,38150316.63
11,11,Ajah,Ward 4 Ajah,Street 7 Ward 4 Ajah,Commercial,9788878.33
12,12,Victoria Island,Ward 3 Victoria Island,Street 7 Ward 3 Victoria Island,Residential,7205116.45
13,13,Mushin,Ward 3 Mushin,Street 10 Ward 3 Mushin,Residential,1548336.9
14,14,Badagry,Ward 1 Badagry,Street 4 Ward 1 Badagry,Residential,4928015.75
15,15,Epe,Ward 1 Epe,Street 4 Ward 1 Epe,Residential,9107965.8
16,16,Ikorodu,Ward 4 Ikorodu,Street 9 Ward 4 Ikorodu,Commercial,5930162.58
17,17,Ifako-Ijaiye,Ward 4 Ifako-Ijaiye,Street 1 Ward 4 Ifako-Ijaiye,Commercial,14373614.25
18,18,Amuwo-Odofin,Ward 4 Amuwo-Odofin,Street 5 Ward 4 Amuwo-Odofin,Commercial,18312419.84
19,19,Surulere,Ward 5 Surulere,Street 4 Ward 5 Surulere,Commercial,20207540.99
20,20,Epe,Ward 3 Epe,Street 9 Ward 3 Epe,Residential,4402783.42
